Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Santo Mel,700ml,Bebidas Quentes,unidade,1un,,,"R$ 50,00",,,,
Campari,998ml,Bebidas Quentes,unidade,17un,,,"R$ 60,00",,,,
Seagers,1L,Gin,unidade,5un,,,"R$ 55,00",,,,
Bardêra Doce de Leite,500ml,Licor,unidade,3un,,,"R$ 80,00",,,,
Xeque Mate,362ml,Bebida Mista,unidade,65un,,,"R$ 10,00",,,,
Mansão Maromba Whisky Tradicional ,Indisponivel,Indisponível,unidade,,,,"R$ 15,00",,,,
Mansão Maromba Gin Melancia,1L,Bebida Mista,unidade,5un,,,"R$ 15,00",,,,
Mansão Maromba Tigrinho,1L,Bebida Mista,unidade,13un,,,"R$ 15,00",,,,
Mansão Maromba CocoNut,1L,Bebida Mista,unidade,15un,,,"R$ 15,00",,,,
Mansão Maromba Vodka,1L,Bebida Mista,unidade,3un,,,"R$ 15,00",,,,
Mansão Maromba Colors Berry,1L,Bebida Mista,unidade,11un,,,"R$ 15,00",,,,
Mansão Maromba Maçã Verde,1L,Bebida Mista,unidade,12un,,,"R$ 15,00",,,,
Mansão Maromba Champagne,1L,Bebida Mista,unidade,5un,,,"R$ 15,00",,,,
Mansão Maromba Gin Go Bells,1L,Bebida Mista,unidade,3un,,,"R$ 15,00",,,,
Mansão Maromba Gin Kut,1L,Bebida Mista,unidade,3un,,,"R$ 15,00",,,,
Duelo limão ,500ml,Bebida Mista,unidade,22un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Duelo Maracujá ,500ml,Bebida Mista,unidade,60un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Duelo Açaí ,500ml,Bebida Mista,unidade,25un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Duelo Morango,500ml,Bebida Mista,unidade,25un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Duelo Blue,500ml,Bebida Mista,unidade,34un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Duelo Pêssego ,550ml,Bebida Mista,unidade,48un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Florete limão ,500ml,Bebida Mista,unidade,77un,Comercial de bebidas grande mix,,"R$ 4,00",,,,
Velhote,500ml,Bebidas Quentes,unidade,271un,,,"R$ 4,00",,,,
Baly Melancia,2L,Energético,unidade,46un,,,"R$ 13,00",,,,
Baly Maçã Verde,2L,Energético,unidade,42un,,,"R$ 13,00",,,,
Baly Tropical,2L,Energético,unidade,47un,,,"R$ 13,00",,,,
Baly Coco e Açaí ,2L,Energético,unidade,55un,,,"R$ 13,00",,,,
Baly Morango e Pêssego ,2L,Energético,unidade,38un,,,"R$ 13,00",,,,
Del Valle Maracujá ,1L,Suco,unidade,16un,Coca Cola,,"R$ 11,00",,,,
Del Valle Uva,1L,Suco,unidade,13un,Coca Cola,,"R$ 11,00",,,,
Del Valle Goiaba,1L,Suco,unidade,4un,Coca Cola,,"R$ 11,00",,,,
Del Valle Manga,1L,Suco,unidade,8un,Coca Cola,,"R$ 11,00",,,,
Del Valle Laranja,1L,Suco,unidade,8un,Coca Cola,,"R$ 11,00",,,,
Del Valle Abacaxi,1L,Suco,unidade,10un,Coca Cola,,"R$ 11,00",,,,
Del Valle Pêssego ,1L,Suco,unidade,9un,Coca Cola,,"R$ 11,00",,,,
Maratá Acerola,1L,Suco,unidade,28un,,,"R$ 8,00",,,,
Maratá Pêssego ,1L,Suco,unidade,14un,,,"R$ 8,00",,,,
Maratá Maracujá ,1L,Suco,unidade,24un,,,"R$ 8,00",,,,
Maratá Caju,Indisponivel,Indisponível,unidade,,,,"R$ 8,00",,,,
Maratá Cajá ,Indisponivel,Indisponível,unidade,,,,"R$ 8,00",,,,
Maratá Laranja,1L,Suco,unidade,21un,,,"R$ 8,00",,,,
Maratá Goiaba,1L,Suco,unidade,39un,,,"R$ 8,00",,,,
Maratá Manga,1L,Suco,unidade,12un,,,"R$ 8,00",,,,
Maratá Uva,1L,Suco,unidade,24un,,,"R$ 8,00",,,,
Maratá Abacaxi ,1L,Suco,unidade,24un,,,"R$ 8,00",,,,
Água Frescca,"1,5L",Água,unidade,13un,Atento,,"R$ 4,00",,,,
Guaraná Retornável,1L,Refrigerante,unidade,2un,Ambev,,"R$ 7,50",,,,
Coca Retornável ,1L,Refrigerante,unidade,56un,Coca Cola,,"R$ 7,50",,"R$ 55,00",,
Coca Retornável ,2L,Refrigerante,"unidade, caixa (9un.)",134un,Coca Cola,,"R$ 9,50",,"R$ 67,00",,
Coca Retornável SEM AÇÚCAR ,2L,Refrigerante,unidade,74un,Coca Cola,,"R$ 9,50",,,,
Fanta Laranja,2L,Refrigerante,unidade,4un,Coca Cola,,"R$ 10,00",,,,
Fanta Uva,2L,Refrigerante,unidade,27un,Coca Cola,,"R$ 10,00",,,,
Guaraná SEM AÇÚCAR ,2L,Refrigerante,unidade,23un,Ambev,,"R$ 10,00",,,,
Guaraná ,2L,Refrigerante,unidade,5un,Ambev,,"R$ 10,00",,,,
Sprite,2L,Refrigerante,unidade,19un,Coca Cola,,"R$ 10,00",,,,
Soda,2L,Refrigerante,unidade,12un,Ambev,,"R$ 10,00",,,,
Pepsi Twist,2L,Refrigerante,unidade,3un,Ambev,,"R$ 10,00",,,,
Pepsi ,2L,Refrigerante,unidade,3un,Ambev,,"R$ 10,00",,,,
Convensão Guaraná ,Indisponivel,Indisponível,unidade,24un,,,"R$ 7,00",,,,
Convensão Frutaina,Indisponivel,Indisponível,unidade,,,,"R$ 7,00",,,,
Sukita Laranja,2L,Refrigerante,unidade,10un,Ambev,,"R$ 9,00",,,,
Sukita Uva,2L,Refrigerante,unidade,13un,Ambev,,"R$ 9,00",,,,
Vibe,2L,Energético,unidade,58un,,,"R$ 11,00",,,,
Black Princess,330ml,Cerveja,unidade,12un,Itaipava,,"R$ 7,00",,,,
Stella Artois Gold (Sem Glúten),330ml,Cerveja,unidade,18un,Ambev,,"R$ 8,00",,,,
51 Ice LIMÃO ,275ml,Bebida Mista,unidade,23un,,,"R$ 8,00",,"R$ 45,00",,
51 Ice MARACUJÁ ,275ml,Bebida Mista,unidade,54un,,,"R$ 8,00",,,,
51 Ice MAÇÃ VERDE,275ml,Bebida Mista,unidade,51un,,,"R$ 8,00",,,,
51 Ice KIWI,275ml,Bebida Mista,unidade,49un,,,"R$ 8,00",,,,
51 Ice AÇAÍ ,275ml,Bebida Mista,unidade,84un,,,"R$ 8,00",,,,
51 Ice BALADA,275ml,Bebida Mista,unidade,60un,,,"R$ 8,00",,,,
51 Ice FRUIT MIX,275ml,Bebida Mista,unidade,62un,,,"R$ 8,00",,,,
Cabaré Ice FRUTAS VERMELHAS,275ml,Bebida Mista,unidade,21un,Itaipava,,"R$ 9,00",,"R$ 50,00",,
Cabaré Ice FRUTAS AMARELAS,275ml,Bebida Mista,unidade,15un,Itaipava,,"R$ 9,00",,,,
